timestamp,position,gain,movement_description
4134,139.39,-255,Shoulder 0 to 90 degrees PID
4144,139.75,-255,Shoulder 0 to 90 degrees PID
4154,140.19,-255,Shoulder 0 to 90 degrees PID
4165,140.62,-255,Shoulder 0 to 90 degrees PID
4175,141.06,-255,Shoulder 0 to 90 degrees PID
4185,142.12,-255,Shoulder 0 to 90 degrees PID
4195,142.56,-255,Shoulder 0 to 90 degrees PID
4206,143.0,-255,Shoulder 0 to 90 degrees PID
4216,143.26,-255,Shoulder 0 to 90 degrees PID
4226,143.7,-255,Shoulder 0 to 90 degrees PID
4236,144.05,-255,Shoulder 0 to 90 degrees PID
4246,145.02,-255,Shoulder 0 to 90 degrees PID
4257,145.55,-255,Shoulder 0 to 90 degrees PID
4267,145.99,-255,Shoulder 0 to 90 degrees PID
4277,146.34,-255,Shoulder 0 to 90 degrees PID
4287,146.6,-255,Shoulder 0 to 90 degrees PID
4298,147.66,-255,Shoulder 0 to 90 degrees PID
4308,148.1,-255,Shoulder 0 to 90 degrees PID
4319,148.54,-255,Shoulder 0 to 90 degrees PID
4329,148.89,-255,Shoulder 0 to 90 degrees PID
4339,149.33,-255,Shoulder 0 to 90 degrees PID
4349,149.68,-255,Shoulder 0 to 90 degrees PID
4360,150.82,-255,Shoulder 0 to 90 degrees PID
4370,151.26,-255,Shoulder 0 to 90 degrees PID
4381,151.7,-255,Shoulder 0 to 90 degrees PID
4391,152.14,-255,Shoulder 0 to 90 degrees PID
4402,152.58,-255,Shoulder 0 to 90 degrees PID
4412,153.54,-255,Shoulder 0 to 90 degrees PID
4422,153.9,-255,Shoulder 0 to 90 degrees PID
4432,154.34,-255,Shoulder 0 to 90 degrees PID
4443,154.69,-255,Shoulder 0 to 90 degrees PID
4453,155.13,-255,Shoulder 0 to 90 degrees PID
4464,156.18,-255,Shoulder 0 to 90 degrees PID
4474,156.62,-255,Shoulder 0 to 90 degrees PID
4485,157.06,-255,Shoulder 0 to 90 degrees PID
4495,157.32,-255,Shoulder 0 to 90 degrees PID
4505,157.68,-255,Shoulder 0 to 90 degrees PID
4516,158.73,-255,Shoulder 0 to 90 degrees PID
4526,159.08,-255,Shoulder 0 to 90 degrees PID
4536,159.52,-255,Shoulder 0 to 90 degrees PID
4546,159.96,-255,Shoulder 0 to 90 degrees PID
4556,160.49,-255,Shoulder 0 to 90 degrees PID
4566,161.46,-255,Shoulder 0 to 90 degrees PID
4577,161.89,-255,Shoulder 0 to 90 degrees PID
4587,162.25,-255,Shoulder 0 to 90 degrees PID
4597,162.69,-255,Shoulder 0 to 90 degrees PID
4607,163.12,-255,Shoulder 0 to 90 degrees PID
4618,163.48,-255,Shoulder 0 to 90 degrees PID
4628,164.44,-255,Shoulder 0 to 90 degrees PID
4638,164.88,-255,Shoulder 0 to 90 degrees PID
4649,165.32,-255,Shoulder 0 to 90 degrees PID
4659,165.67,-252,Shoulder 0 to 90 degrees PID
4669,166.11,-246,Shoulder 0 to 90 degrees PID
4679,166.9,-232,Shoulder 0 to 90 degrees PID
4690,167.52,-219,Shoulder 0 to 90 degrees PID
4700,167.87,-212,Shoulder 0 to 90 degrees PID
4711,168.13,-207,Shoulder 0 to 90 degrees PID
4721,168.75,-200,Shoulder 0 to 90 degrees PID
4732,169.45,-184,Shoulder 0 to 90 degrees PID
4742,169.89,-176,Shoulder 0 to 90 degrees PID
4752,170.24,-170,Shoulder 0 to 90 degrees PID
4763,170.68,-163,Shoulder 0 to 90 degrees PID
4773,171.12,-155,Shoulder 0 to 90 degrees PID
4784,171.56,-147,Shoulder 0 to 90 degrees PID
4794,172.44,-132,Shoulder 0 to 90 degrees PID
4805,172.71,-127,Shoulder 0 to 90 degrees PID
4815,173.06,-121,Shoulder 0 to 90 degrees PID
4826,173.32,-116,Shoulder 0 to 90 degrees PID
4836,173.67,-110,Shoulder 0 to 90 degrees PID
4847,174.55,-95,Shoulder 0 to 90 degrees PID
4857,174.9,-89,Shoulder 0 to 90 degrees PID
4868,175.17,-84,Shoulder 0 to 90 degrees PID
4879,175.43,-79,Shoulder 0 to 90 degrees PID
4889,175.78,-73,Shoulder 0 to 90 degrees PID
4900,176.13,-67,Shoulder 0 to 90 degrees PID
4910,176.75,-67,Shoulder 0 to 90 degrees PID
4920,176.92,-56,Shoulder 0 to 90 degrees PID
4931,177.28,-47,Shoulder 0 to 90 degrees PID
